InvestorsName,Count
Eduardo Saverin & Velos Capital,1
Eight Road Ventures,1
Eight Roads Ventures,6
Elevar Equity,3
Elevate Sports,2
Elliot Stechman,1
Emerald Media,2
Emergent Ventures,2
Emergent Ventures India,1
Emerging India,1
Empire Angels,1
Enablers Platform,1
Endiya Partners,8
Ennovent Impact Investment Holding,1
Entrepreneurs India,2
Epsilon Venture Partners,1
Equentia Natural Resources,1
Equity Crest,1
Eros Labs,2
Esvee Technologies Inc,1
Eureka Forbes Ltd,1
European Investment Fund,1
Evan Lim,2
Evc Ventures,2
Exfinity Fund,1
Exfinity Venture Partners,6
Exfinity Venture Partners & Others,1
Exfinity Ventures,3
Existing & New Investors,1
Existing Investors,1
Extreme Venture Partnersâ  William Bissell,1
F-Prime Capital Partners,2
Facebook Fb Start Programme,1
Facebook Fbstart,3
Faering Capital,3
Fairfax Holdings,1
Falcon Edge Capital,6
Family Office Fund,1
Family Pot Investments Llp,1
Fao Ventures,1
Faraz Khan,1
Farhaan Shabbir,1
Farhan Naqvi,1
Farooq Adam,1
Farooq Adam Mukadam,1
Farooq Oomerbhoy,1
Farooq Oomerbhoy & Other Angel Investors,1
Fauzan Rahim,1
Fenqile,1
Ff Angel,1
Fidelity Biosciences,1
Fidelity Growth Partners,4
Fidelity Growth Partners India,2
Fih Mobile Ltd,1
Finc,1
Fireside Ventures,5
Fireside Ventures & Others,1
Fj Labs,1
Flipkart,11
Flipkart Logistics Pvt. Ltd,1
Florida Based Angel Investor,1
Florintree,1
Florintree Advisors,1
Ford Smart Mobility Llc,1
Fork Media,1
Fortisure Ventures,1
Forum Synergies Pe Fund,1
Fosun International,1
Foundation Capital,1
Founder Collective,1
Founders Fund,1
Foxconn,2
Foxconn Technology Group,1
Foxconn Technology Group & Others,1
Francesco Cara,1
Franchise India,2
Franchise India Brands,1
Franklin Templeton International Services Pvt. Ltd,1
Freakout Group,1
Fred Khosravi,1
Frontline Strategy,2
Ftv Capital,1
Fulcrum Ventures,1
Funding Through 1Crowd Platform,1
Fundnel,1
Fusion Tech Ventures,1
